iata_code,icao_code,airport_name,period_start,period_end,calendar_days_in_period,rows_found,valid_operator_days,operator_coverage_pct,airport_reported_departures,all_cause_predeparture_delay_minutes,weighted_avg_delay_minutes_per_departure,median_daily_delay_minutes_per_departure,source_url,source_release_date,metric_definition
AMS,EHAM,Amsterdam Schiphol,2025-07-01,2026-06-30,365,365,365,100.0,241594,4955284.8,20.51,17.71,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
BRU,EBBR,Brussels,2025-07-01,2026-06-30,365,365,365,100.0,101139,1976359.0,19.54,17.48,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
ATH,LGAV,Athens,2025-07-01,2026-06-30,365,365,365,100.0,141762,2542445.0,17.93,15.1,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
HAM,EDDH,Hamburg,2025-07-01,2026-06-30,365,365,365,100.0,59885,907387.2,15.15,13.05,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
CPH,EKCH,Copenhagen,2025-07-01,2026-06-30,365,365,365,100.0,133107,1361536.8,10.23,8.93,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
BRE,EDDW,Bremen,2025-07-01,2026-06-30,365,365,365,100.0,12237,124361.3,10.16,7.68,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
OSL,ENGM,Oslo Gardermoen,2025-07-01,2026-06-30,365,365,365,100.0,111161,885833.0,7.97,6.85,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
LCA,LCLK,Larnaca,2025-07-01,2026-06-30,365,365,0,0.0,0,0.0,,,https://www.eurocontrol.int/performance/data/download/xls/All_Pre-Departure_Delay.xlsx,2026-08-14,Total all-cause pre-departure delay minutes divided by airport-operator-reported IFR departures over the selected period.
