Flight_Date,Year,Month,Month_Name,Year_Month,Airport_ICAO,Airport_Name,Country,IFR_Departures,Total_Delay_Minutes
2020-01-01,2020,1,January,2020-01,LFML,Marseille-Provence,France,95.0,1126.0
2020-01-01,2020,1,January,2020-01,LFMN,Nice-Côte d’Azur,France,134.0,1047.0
2020-01-01,2020,1,January,2020-01,LFPG,Paris - Charles-de-Gaulle,France,579.0,8323.0
2020-01-01,2020,1,January,2020-01,LFPO,Paris - Orly,France,256.0,5437.0
2020-01-01,2020,1,January,2020-01,LFSB,Bâle-Mulhouse,France,82.0,681.0
2020-01-01,2020,1,January,2020-01,LGAV,Athens,Greece,212.0,1902.8
2020-01-01,2020,1,January,2020-01,LHBP,Budapest - Ferihegy,Hungary,144.0,1569.0
2020-01-01,2020,1,January,2020-01,LICC,Catania,Italy,78.0,998.0
2020-01-01,2020,1,January,2020-01,LIMC,Milan - Malpensa,Italy,234.0,2108.79
2020-01-01,2020,1,January,2020-01,LIME,Bergamo,Italy,106.0,851.0
2020-01-01,2020,1,January,2020-01,LIMF,Torino Caselle,Italy,40.0,845.0
2020-01-01,2020,1,January,2020-01,LIML,Milan - Linate,Italy,127.0,537.0
2020-01-01,2020,1,January,2020-01,LIPE,Bologna,Italy,74.0,551.84
2020-01-01,2020,1,January,2020-01,LIPZ,Venice,Italy,90.0,633.0
2020-01-01,2020,1,January,2020-01,LIRA,Rome - Ciampino,Italy,45.0,477.0
2020-01-01,2020,1,January,2020-01,LIRF,Rome - Fiumicino,Italy,355.0,2746.0
2020-01-01,2020,1,January,2020-01,LIRN,Naples,Italy,69.0,687.0
2020-01-01,2020,1,January,2020-01,LJLJ,Ljubljana,Slovenia,16.0,45.62
2020-01-01,2020,1,January,2020-01,LKPR,Prague,Czech Republic,152.0,1654.0
2020-01-01,2020,1,January,2020-01,LMML,Malta,Malta,56.0,554.0
2020-01-01,2020,1,January,2020-01,LOWW,Vienna,Austria,283.0,3091.0
2020-01-01,2020,1,January,2020-01,LPFR,Faro,Portugal,34.0,457.0
2020-01-01,2020,1,January,2020-01,LPPR,Porto,Portugal,104.0,2077.24
2020-01-01,2020,1,January,2020-01,LPPT,Lisbon,Portugal,277.0,14646.43
2020-01-01,2020,1,January,2020-01,LROP,Bucharest - Otopeni,Romania,90.0,1397.0
2020-01-01,2020,1,January,2020-01,LSGG,Geneva,Switzerland,198.0,1834.77
2020-01-01,2020,1,January,2020-01,LSZH,Zürich,Switzerland,281.0,2421.97
2020-01-01,2020,1,January,2020-01,LZIB,Bratislava,Slovakia,15.0,247.0
2020-01-02,2020,1,January,2020-01,EBBR,Brussels,Belgium,254.0,2866.0
2020-01-02,2020,1,January,2020-01,EBCI,Brussels - Charleroi,Belgium,78.0,623.0
2020-01-02,2020,1,January,2020-01,EDDB,Berlin - Brandenburg,Germany,110.0,1344.85
2020-01-02,2020,1,January,2020-01,EDDC,Dresden,Germany,26.0,518.0
2020-01-02,2020,1,January,2020-01,EDDE,Erfurt,Germany,7.0,35.0
2020-01-02,2020,1,January,2020-01,EDDF,Frankfurt,Germany,576.0,11053.88
2020-01-02,2020,1,January,2020-01,EDDG,Muenster-Osnabrueck,Germany,12.0,102.0
2020-01-02,2020,1,January,2020-01,EDDH,Hamburg,Germany,162.0,1754.62
2020-01-02,2020,1,January,2020-01,EDDK,Cologne-Bonn,Germany,156.0,1584.72
2020-01-02,2020,1,January,2020-01,EDDL,Dusseldorf,Germany,239.0,2476.9
2020-01-02,2020,1,January,2020-01,EDDM,Munich,Germany,478.0,7433.0
2020-01-02,2020,1,January,2020-01,EDDN,Nuremberg,Germany,48.0,424.45
2020-01-02,2020,1,January,2020-01,EDDP,Leipzig-Halle,Germany,92.0,958.84
2020-01-02,2020,1,January,2020-01,EDDR,Saarbruecken,Germany,6.0,173.0
2020-01-02,2020,1,January,2020-01,EDDS,Stuttgart,Germany,130.0,1201.0
2020-01-02,2020,1,January,2020-01,EDDT,Berlin - Tegel,Germany,226.0,4245.0
2020-01-02,2020,1,January,2020-01,EDDV,Hanover,Germany,64.0,747.92
2020-01-02,2020,1,January,2020-01,EDDW,Bremen,Germany,23.0,94.37
2020-01-02,2020,1,January,2020-01,EETN,Tallinn,Estonia,58.0,418.0
2020-01-02,2020,1,January,2020-01,EFHK,Helsinki - Vantaa,Finland,261.0,2190.9
2020-01-02,2020,1,January,2020-01,EGBB,Birmingham,United Kingdom,131.0,1276.0
2020-01-02,2020,1,January,2020-01,EGCC,Manchester,United Kingdom,233.0,1623.0
2020-01-02,2020,1,January,2020-01,EGGD,Bristol,United Kingdom,87.0,555.0
2020-01-02,2020,1,January,2020-01,EGGW,London - Luton,United Kingdom,179.0,1979.0
2020-01-02,2020,1,January,2020-01,EGKK,London - Gatwick,United Kingdom,373.0,5190.0
2020-01-02,2020,1,January,2020-01,EGLC,London - City,United Kingdom,103.0,733.0
2020-01-02,2020,1,January,2020-01,EGLL,London - Heathrow,United Kingdom,641.0,5353.0
2020-01-02,2020,1,January,2020-01,EGNT,Newcastle,United Kingdom,40.0,260.0
2020-01-02,2020,1,January,2020-01,EGPD,Aberdeen,United Kingdom,49.0,163.0
2020-01-02,2020,1,January,2020-01,EGPF,Glasgow,United Kingdom,105.0,769.0
2020-01-02,2020,1,January,2020-01,EGPH,Edinburgh,United Kingdom,167.0,2043.0
2020-01-02,2020,1,January,2020-01,EGSS,London - Stansted,United Kingdom,280.0,1415.0
2020-01-02,2020,1,January,2020-01,EHAM,Amsterdam - Schiphol,Netherlands,661.0,15269.51
2020-01-02,2020,1,January,2020-01,EICK,Cork,Ireland,31.0,389.0
2020-01-02,2020,1,January,2020-01,EIDW,Dublin,Ireland,315.0,2633.0
2020-01-02,2020,1,January,2020-01,EKCH,Copenhagen - Kastrup,Denmark,320.0,3030.92
2020-01-02,2020,1,January,2020-01,ELLX,Luxembourg,Luxembourg,88.0,1208.0
2020-01-02,2020,1,January,2020-01,ENGM,Oslo - Gardermoen,Norway,338.0,2746.0
2020-01-02,2020,1,January,2020-01,EPWA,Warszawa - Chopina,Poland,271.0,3805.86
2020-01-02,2020,1,January,2020-01,ESGG,Göteborg,Sweden,79.0,713.0
2020-01-02,2020,1,January,2020-01,ESSA,Stockholm - Arlanda,Sweden,259.0,2920.36
2020-01-02,2020,1,January,2020-01,EVRA,Riga,Latvia,123.0,1184.0
2020-01-02,2020,1,January,2020-01,EYVI,Vilnius,Lithuania,67.0,495.0
2020-01-02,2020,1,January,2020-01,GCFV,Fuerteventura,Spain,59.0,1016.73
2020-01-02,2020,1,January,2020-01,GCLP,Gran Canaria,Spain,166.0,2588.0
2020-01-02,2020,1,January,2020-01,GCRR,Lanzarote,Spain,86.0,1180.0
2020-01-02,2020,1,January,2020-01,GCTS,Tenerife Sur - Reina Sofia,Spain,108.0,2290.0
2020-01-02,2020,1,January,2020-01,GCXO,Tenerife North,Spain,103.0,968.17
2020-01-02,2020,1,January,2020-01,LBSF,Sofia,Bulgaria,89.0,1256.0
2020-01-02,2020,1,January,2020-01,LDZA,Zagreb,Croatia,55.0,586.0
2020-01-02,2020,1,January,2020-01,LEAL,Alicante,Spain,110.0,1036.0
2020-01-02,2020,1,January,2020-01,LEBB,Bilbao,Spain,53.0,814.0
2020-01-02,2020,1,January,2020-01,LEBL,Barcelona,Spain,450.0,4805.0
2020-01-02,2020,1,January,2020-01,LEIB,Ibiza,Spain,42.0,105.0
2020-01-02,2020,1,January,2020-01,LEMD,Madrid - Barajas,Spain,573.0,7350.0
2020-01-02,2020,1,January,2020-01,LEMG,Málaga,Spain,160.0,2079.0
2020-01-02,2020,1,January,2020-01,LEPA,Palma de Mallorca,Spain,169.0,1085.0
2020-01-02,2020,1,January,2020-01,LEVC,Valencia,Spain,95.0,1104.0
2020-01-02,2020,1,January,2020-01,LEZL,Sevilla,Spain,87.0,1248.68
2020-01-02,2020,1,January,2020-01,LFBO,Toulouse-Blagnac,France,123.0,1821.0
2020-01-02,2020,1,January,2020-01,LFLL,Lyon-Saint-Exupéry,France,137.0,3093.0
2020-01-02,2020,1,January,2020-01,LFML,Marseille-Provence,France,120.0,1997.0
2020-01-02,2020,1,January,2020-01,LFMN,Nice-Côte d’Azur,France,150.0,1959.0
2020-01-02,2020,1,January,2020-01,LFPG,Paris - Charles-de-Gaulle,France,641.0,11075.0
2020-01-02,2020,1,January,2020-01,LFPO,Paris - Orly,France,285.0,4479.0
2020-01-02,2020,1,January,2020-01,LFSB,Bâle-Mulhouse,France,95.0,1238.0
2020-01-02,2020,1,January,2020-01,LGAV,Athens,Greece,262.0,3114.16
2020-01-02,2020,1,January,2020-01,LHBP,Budapest - Ferihegy,Hungary,165.0,3124.0
2020-01-02,2020,1,January,2020-01,LICC,Catania,Italy,91.0,1414.0
2020-01-02,2020,1,January,2020-01,LIMC,Milan - Malpensa,Italy,278.0,4036.73
2020-01-02,2020,1,January,2020-01,LIME,Bergamo,Italy,138.0,1391.0
2020-01-02,2020,1,January,2020-01,LIMF,Torino Caselle,Italy,55.0,842.0
2020-01-02,2020,1,January,2020-01,LIML,Milan - Linate,Italy,144.0,798.0
2020-01-02,2020,1,January,2020-01,LIPE,Bologna,Italy,104.0,1053.44
2020-01-02,2020,1,January,2020-01,LIPZ,Venice,Italy,119.0,1280.0
2020-01-02,2020,1,January,2020-01,LIRA,Rome - Ciampino,Italy,60.0,437.0
2020-01-02,2020,1,January,2020-01,LIRF,Rome - Fiumicino,Italy,391.0,3608.0
2020-01-02,2020,1,January,2020-01,LIRN,Naples,Italy,102.0,1666.0
2020-01-02,2020,1,January,2020-01,LJLJ,Ljubljana,Slovenia,24.0,200.25
2020-01-02,2020,1,January,2020-01,LKPR,Prague,Czech Republic,197.0,7040.0
2020-01-02,2020,1,January,2020-01,LMML,Malta,Malta,90.0,919.0
2020-01-02,2020,1,January,2020-01,LOWW,Vienna,Austria,385.0,5619.0
2020-01-02,2020,1,January,2020-01,LPFR,Faro,Portugal,52.0,788.0
2020-01-02,2020,1,January,2020-01,LPPR,Porto,Portugal,138.0,2906.11
2020-01-02,2020,1,January,2020-01,LPPT,Lisbon,Portugal,308.0,18653.55
2020-01-02,2020,1,January,2020-01,LROP,Bucharest - Otopeni,Romania,149.0,2794.0
2020-01-02,2020,1,January,2020-01,LSGG,Geneva,Switzerland,250.0,3226.1
2020-01-02,2020,1,January,2020-01,LSZH,Zürich,Switzerland,331.0,3509.73
2020-01-02,2020,1,January,2020-01,LZIB,Bratislava,Slovakia,20.0,110.0
2020-01-03,2020,1,January,2020-01,EBBR,Brussels,Belgium,270.0,4151.0
2020-01-03,2020,1,January,2020-01,EBCI,Brussels - Charleroi,Belgium,70.0,341.0
2020-01-03,2020,1,January,2020-01,EDDB,Berlin - Brandenburg,Germany,124.0,1566.52
2020-01-03,2020,1,January,2020-01,EDDC,Dresden,Germany,19.0,76.0
2020-01-03,2020,1,January,2020-01,EDDE,Erfurt,Germany,1.0,0.0
2020-01-03,2020,1,January,2020-01,EDDF,Frankfurt,Germany,599.0,7511.51
2020-01-03,2020,1,January,2020-01,EDDG,Muenster-Osnabrueck,Germany,15.0,124.0
2020-01-03,2020,1,January,2020-01,EDDH,Hamburg,Germany,165.0,2386.74
2020-01-03,2020,1,January,2020-01,EDDK,Cologne-Bonn,Germany,181.0,1351.22
2020-01-03,2020,1,January,2020-01,EDDL,Dusseldorf,Germany,251.0,2369.84
2020-01-03,2020,1,January,2020-01,EDDM,Munich,Germany,465.0,5071.0
2020-01-03,2020,1,January,2020-01,EDDN,Nuremberg,Germany,60.0,262.06
2020-01-03,2020,1,January,2020-01,EDDP,Leipzig-Halle,Germany,93.0,841.68
2020-01-03,2020,1,January,2020-01,EDDR,Saarbruecken,Germany,7.0,6.0
2020-01-03,2020,1,January,2020-01,EDDS,Stuttgart,Germany,143.0,1190.0
2020-01-03,2020,1,January,2020-01,EDDT,Berlin - Tegel,Germany,234.0,3496.0
2020-01-03,2020,1,January,2020-01,EDDV,Hanover,Germany,66.0,459.39
2020-01-03,2020,1,January,2020-01,EDDW,Bremen,Germany,28.0,173.63
2020-01-03,2020,1,January,2020-01,EETN,Tallinn,Estonia,52.0,345.0
2020-01-03,2020,1,January,2020-01,EFHK,Helsinki - Vantaa,Finland,265.0,2506.62
2020-01-03,2020,1,January,2020-01,EGBB,Birmingham,United Kingdom,131.0,1039.0
2020-01-03,2020,1,January,2020-01,EGCC,Manchester,United Kingdom,257.0,2514.0
2020-01-03,2020,1,January,2020-01,EGGD,Bristol,United Kingdom,88.0,1197.0
2020-01-03,2020,1,January,2020-01,EGGW,London - Luton,United Kingdom,189.0,2012.0
2020-01-03,2020,1,January,2020-01,EGKK,London - Gatwick,United Kingdom,377.0,3616.0
2020-01-03,2020,1,January,2020-01,EGLC,London - City,United Kingdom,100.0,930.0
2020-01-03,2020,1,January,2020-01,EGLL,London - Heathrow,United Kingdom,638.0,5419.0
2020-01-03,2020,1,January,2020-01,EGNT,Newcastle,United Kingdom,49.0,331.0
2020-01-03,2020,1,January,2020-01,EGPD,Aberdeen,United Kingdom,58.0,473.0
2020-01-03,2020,1,January,2020-01,EGPF,Glasgow,United Kingdom,112.0,1490.0
2020-01-03,2020,1,January,2020-01,EGPH,Edinburgh,United Kingdom,186.0,2879.0
2020-01-03,2020,1,January,2020-01,EGSS,London - Stansted,United Kingdom,281.0,2732.0
2020-01-03,2020,1,January,2020-01,EHAM,Amsterdam - Schiphol,Netherlands,670.0,9416.48
2020-01-03,2020,1,January,2020-01,EICK,Cork,Ireland,46.0,140.0
2020-01-03,2020,1,January,2020-01,EIDW,Dublin,Ireland,324.0,2151.0
2020-01-03,2020,1,January,2020-01,EKCH,Copenhagen - Kastrup,Denmark,312.0,3138.25
2020-01-03,2020,1,January,2020-01,ELLX,Luxembourg,Luxembourg,90.0,1085.0
2020-01-03,2020,1,January,2020-01,ENGM,Oslo - Gardermoen,Norway,320.0,4046.0
