Economy,Seafarer_Type,Seafarer_Count,World_Share_Percent,Year
Ecuador,Officers,1260,0.163,2015
Ecuador,Ratings,1557,0.178,2015
Ecuador,Total,2817,0.171,2015
Egypt,Officers,2093,0.27,2015
Egypt,Ratings,1869,0.214,2015
Egypt,Total,3962,0.24,2015
Equatorial Guinea,Officers,168,0.022,2015
Equatorial Guinea,Ratings,187,0.021,2015
Equatorial Guinea,Total,355,0.022,2015
Eritrea,Officers,45,0.006,2015
Eritrea,Ratings,47,0.005,2015
Eritrea,Total,92,0.006,2015
Estonia,Officers,2703,0.349,2015
Estonia,Ratings,1158,0.133,2015
Estonia,Total,3861,0.234,2015
Ethiopia,Officers,215,0.028,2015
Ethiopia,Ratings,192,0.022,2015
Ethiopia,Total,407,0.025,2015
Faroe Islands,Officers,556,0.072,2015
Faroe Islands,Ratings,514,0.059,2015
Faroe Islands,Total,1070,0.065,2015
Fiji,Officers,249,0.032,2015
Fiji,Ratings,301,0.034,2015
Fiji,Total,550,0.033,2015
Finland,Officers,3819,0.493,2015
Finland,Ratings,4979,0.57,2015
Finland,Total,8798,0.534,2015
France,Officers,2915,0.377,2015
France,Ratings,2446,0.28,2015
France,Total,5361,0.325,2015
"France, metropolitan",Officers,2801,0.362,2015
"France, metropolitan",Ratings,2258,0.258,2015
"France, metropolitan",Total,5059,0.307,2015
French Polynesia,Officers,225,0.029,2015
French Polynesia,Ratings,337,0.039,2015
French Polynesia,Total,562,0.034,2015
Gabon,Officers,157,0.02,2015
Gabon,Ratings,186,0.021,2015
Gabon,Total,343,0.021,2015
Gambia,Officers,44,0.006,2015
Gambia,Ratings,54,0.006,2015
Gambia,Total,98,0.006,2015
Georgia,Officers,3386,0.437,2015
Georgia,Ratings,4584,0.525,2015
Georgia,Total,7970,0.484,2015
Germany,Officers,3708,0.479,2015
Germany,Ratings,2527,0.289,2015
Germany,Total,6235,0.378,2015
Ghana,Officers,139,0.018,2015
Ghana,Ratings,136,0.016,2015
Ghana,Total,275,0.017,2015
Gibraltar,Officers,0,0.0,2015
Gibraltar,Ratings,0,0.0,2015
Gibraltar,Total,0,0.0,2015
Greece,Officers,7451,0.963,2015
Greece,Ratings,1874,0.215,2015
Greece,Total,9325,0.566,2015
Grenada,Officers,20,0.003,2015
Grenada,Ratings,27,0.003,2015
Grenada,Total,47,0.003,2015
Guadeloupe,Officers,93,0.012,2015
Guadeloupe,Ratings,165,0.019,2015
Guadeloupe,Total,258,0.016,2015
Guatemala,Officers,8,0.001,2015
Guatemala,Ratings,8,0.001,2015
Guatemala,Total,16,0.001,2015
Guinea,Officers,29,0.004,2015
Guinea,Ratings,33,0.004,2015
Guinea,Total,62,0.004,2015
Guinea-Bissau,Officers,48,0.006,2015
Guinea-Bissau,Ratings,55,0.006,2015
Guinea-Bissau,Total,103,0.006,2015
Guyana,Officers,473,0.061,2015
Guyana,Ratings,517,0.059,2015
Guyana,Total,990,0.06,2015
Haiti,Officers,16,0.002,2015
Haiti,Ratings,18,0.002,2015
Haiti,Total,34,0.002,2015
Honduras,Officers,2184,0.282,2015
Honduras,Ratings,2670,0.306,2015
Honduras,Total,4854,0.295,2015
Hungary,Officers,55,0.007,2015
Hungary,Ratings,35,0.004,2015
Hungary,Total,90,0.005,2015
Iceland,Officers,198,0.026,2015
Iceland,Ratings,251,0.029,2015
Iceland,Total,449,0.027,2015
