Economy,Seafarer_Type,Seafarer_Count,World_Share_Percent,Year
Egypt,Ratings,4472,0.432,2021
Egypt,Total,7021,0.371,2021
El Salvador,Officers,0,0.0,2021
El Salvador,Ratings,0,0.0,2021
El Salvador,Total,0,0.0,2021
Equatorial Guinea,Officers,250,0.029,2021
Equatorial Guinea,Ratings,400,0.039,2021
Equatorial Guinea,Total,650,0.034,2021
Eritrea,Officers,0,0.0,2021
Eritrea,Ratings,0,0.0,2021
Eritrea,Total,0,0.0,2021
Estonia,Officers,2553,0.298,2021
Estonia,Ratings,1945,0.188,2021
Estonia,Total,4498,0.238,2021
Ethiopia,Officers,116,0.014,2021
Ethiopia,Ratings,159,0.015,2021
Ethiopia,Total,275,0.015,2021
Fiji,Officers,436,0.051,2021
Fiji,Ratings,785,0.076,2021
Fiji,Total,1221,0.065,2021
Finland,Officers,4837,0.564,2021
Finland,Ratings,5174,0.5,2021
Finland,Total,10011,0.529,2021
France,Officers,13495,1.574,2021
France,Ratings,2419,0.234,2021
France,Total,15914,0.841,2021
"France, metropolitan",Officers,13495,1.574,2021
"France, metropolitan",Ratings,2419,0.234,2021
"France, metropolitan",Total,15914,0.841,2021
Gabon,Officers,560,0.065,2021
Gabon,Ratings,910,0.088,2021
Gabon,Total,1470,0.078,2021
Gambia,Officers,26,0.003,2021
Gambia,Ratings,51,0.005,2021
Gambia,Total,77,0.004,2021
Georgia,Officers,4422,0.516,2021
Georgia,Ratings,3749,0.362,2021
Georgia,Total,8171,0.432,2021
Germany,Officers,6990,0.815,2021
Germany,Ratings,5244,0.507,2021
Germany,Total,12234,0.646,2021
Ghana,Officers,38,0.004,2021
Ghana,Ratings,60,0.006,2021
Ghana,Total,98,0.005,2021
Greece,Officers,27074,3.157,2021
Greece,Ratings,3433,0.332,2021
Greece,Total,30507,1.612,2021
Grenada,Officers,26,0.003,2021
Grenada,Ratings,51,0.005,2021
Grenada,Total,77,0.004,2021
Guatemala,Officers,0,0.0,2021
Guatemala,Ratings,0,0.0,2021
Guatemala,Total,0,0.0,2021
Guinea,Officers,37,0.004,2021
Guinea,Ratings,52,0.005,2021
Guinea,Total,89,0.005,2021
Guinea-Bissau,Officers,83,0.01,2021
Guinea-Bissau,Ratings,113,0.011,2021
Guinea-Bissau,Total,196,0.01,2021
Guyana,Officers,713,0.083,2021
Guyana,Ratings,1047,0.101,2021
Guyana,Total,1760,0.093,2021
Haiti,Officers,42,0.005,2021
Haiti,Ratings,56,0.005,2021
Haiti,Total,98,0.005,2021
Honduras,Officers,337,0.039,2021
Honduras,Ratings,564,0.054,2021
Honduras,Total,901,0.048,2021
Hungary,Officers,40,0.005,2021
Hungary,Ratings,0,0.0,2021
Hungary,Total,40,0.002,2021
Iceland,Officers,227,0.026,2021
Iceland,Ratings,10,0.001,2021
Iceland,Total,237,0.013,2021
India,Officers,58645,6.839,2021
India,Ratings,54829,5.297,2021
India,Total,113474,5.995,2021
Indonesia,Officers,51237,5.975,2021
Indonesia,Ratings,92465,8.932,2021
Indonesia,Total,143702,7.592,2021
Iran (Islamic Republic of),Officers,7631,0.89,2021
Iran (Islamic Republic of),Ratings,10023,0.968,2021
Iran (Islamic Republic of),Total,17654,0.933,2021
Iraq,Officers,137,0.016,2021
Iraq,Ratings,230,0.022,2021
Iraq,Total,367,0.019,2021
Ireland,Officers,1242,0.145,2021
Ireland,Ratings,0,0.0,2021
Ireland,Total,1242,0.066,2021
Israel,Officers,200,0.023,2021
Israel,Ratings,346,0.033,2021
Israel,Total,546,0.029,2021
Italy,Officers,3104,0.362,2021
Italy,Ratings,497,0.048,2021
Italy,Total,3601,0.19,2021
Jamaica,Officers,304,0.035,2021
Jamaica,Ratings,513,0.05,2021
Jamaica,Total,817,0.043,2021
Japan,Officers,19119,2.23,2021
Japan,Ratings,6339,0.612,2021
Japan,Total,25458,1.345,2021
Jordan,Officers,293,0.034,2021
Jordan,Ratings,538,0.052,2021
Jordan,Total,831,0.044,2021
Kazakhstan,Officers,524,0.061,2021
Kazakhstan,Ratings,958,0.093,2021
Kazakhstan,Total,1482,0.078,2021
Kenya,Officers,19,0.002,2021
Kenya,Ratings,166,0.016,2021
Kenya,Total,185,0.01,2021
Kiribati,Officers,190,0.022,2021
Kiribati,Ratings,284,0.027,2021
Kiribati,Total,474,0.025,2021
"Korea, Dem. People's Rep. of",Officers,1651,0.193,2021
"Korea, Dem. People's Rep. of",Ratings,2251,0.217,2021
"Korea, Dem. People's Rep. of",Total,3902,0.206,2021
"Korea, Republic of",Officers,10793,1.259,2021
"Korea, Republic of",Ratings,17126,1.654,2021
"Korea, Republic of",Total,27919,1.475,2021
Kuwait,Officers,0,0.0,2021
Kuwait,Ratings,0,0.0,2021
Kuwait,Total,0,0.0,2021
Latvia,Officers,5519,0.644,2021
Latvia,Ratings,2569,0.248,2021
Latvia,Total,8088,0.427,2021
Lebanon,Officers,240,0.028,2021
Lebanon,Ratings,336,0.032,2021
Lebanon,Total,576,0.03,2021
Liberia,Officers,58,0.007,2021
Liberia,Ratings,604,0.058,2021
Liberia,Total,662,0.035,2021
Libya,Officers,355,0.041,2021
Libya,Ratings,541,0.052,2021
Libya,Total,896,0.047,2021
Lithuania,Officers,2079,0.242,2021
Lithuania,Ratings,1026,0.099,2021
Lithuania,Total,3105,0.164,2021
Luxembourg,Officers,1078,0.126,2021
Luxembourg,Ratings,1913,0.185,2021
Luxembourg,Total,2991,0.158,2021
Madagascar,Officers,194,0.023,2021
Madagascar,Ratings,282,0.027,2021
Madagascar,Total,476,0.025,2021
Malawi,Officers,0,0.0,2021
Malawi,Ratings,0,0.0,2021
Malawi,Total,0,0.0,2021
Malaysia,Officers,6313,0.736,2021
Malaysia,Ratings,28687,2.771,2021
Malaysia,Total,35000,1.849,2021
Maldives,Officers,391,0.046,2021
Maldives,Ratings,614,0.059,2021
Maldives,Total,1005,0.053,2021
Malta,Officers,148,0.017,2021
Malta,Ratings,480,0.046,2021
Malta,Total,628,0.033,2021
Marshall Islands,Officers,1,0.0,2021
Marshall Islands,Ratings,7,0.001,2021
Marshall Islands,Total,8,0.0,2021
Mauritania,Officers,37,0.004,2021
Mauritania,Ratings,52,0.005,2021
Mauritania,Total,89,0.005,2021
Mauritius,Officers,98,0.011,2021
Mauritius,Ratings,665,0.064,2021
Mauritius,Total,763,0.04,2021
Mexico,Officers,4552,0.531,2021
Mexico,Ratings,1419,0.137,2021
Mexico,Total,5971,0.315,2021
Micronesia (Federated States of),Officers,92,0.011,2021
Micronesia (Federated States of),Ratings,174,0.017,2021
Micronesia (Federated States of),Total,266,0.014,2021
"Moldova, Republic of",Officers,1042,0.122,2021
"Moldova, Republic of",Ratings,1484,0.143,2021
"Moldova, Republic of",Total,2526,0.133,2021
Monaco,Officers,0,0.0,2021
Monaco,Ratings,0,0.0,2021
Monaco,Total,0,0.0,2021
Mongolia,Officers,1628,0.19,2021
Mongolia,Ratings,2427,0.234,2021
Mongolia,Total,4055,0.214,2021
Montenegro,Officers,224,0.026,2021
Montenegro,Ratings,425,0.041,2021
Montenegro,Total,649,0.034,2021
Morocco,Officers,1069,0.125,2021
Morocco,Ratings,7012,0.677,2021
Morocco,Total,8081,0.427,2021
Mozambique,Officers,123,0.014,2021
Mozambique,Ratings,189,0.018,2021
Mozambique,Total,312,0.016,2021
Myanmar,Officers,13923,1.624,2021
Myanmar,Ratings,19367,1.871,2021
Myanmar,Total,33290,1.759,2021
Namibia,Officers,33,0.004,2021
Namibia,Ratings,56,0.005,2021
Namibia,Total,89,0.005,2021
Nauru,Officers,11,0.001,2021
Nauru,Ratings,16,0.002,2021
Nauru,Total,27,0.001,2021
Netherlands (Kingdom of the),Officers,9667,1.127,2021
Netherlands (Kingdom of the),Ratings,0,0.0,2021
Netherlands (Kingdom of the),Total,9667,0.511,2021
New Zealand,Officers,1602,0.187,2021
New Zealand,Ratings,287,0.028,2021
New Zealand,Total,1889,0.1,2021
Nicaragua,Officers,11,0.001,2021
Nicaragua,Ratings,16,0.002,2021
Nicaragua,Total,27,0.001,2021
Nigeria,Officers,8953,1.044,2021
Nigeria,Ratings,16657,1.609,2021
Nigeria,Total,25610,1.353,2021
Niue,Officers,175,0.02,2021
Niue,Ratings,259,0.025,2021
Niue,Total,434,0.023,2021
Norway,Officers,16366,1.908,2021
Norway,Ratings,6521,0.63,2021
Norway,Total,22887,1.209,2021
Oman,Officers,182,0.021,2021
Oman,Ratings,288,0.028,2021
Oman,Total,470,0.025,2021
Pakistan,Officers,2841,0.331,2021
Pakistan,Ratings,9327,0.901,2021
Pakistan,Total,12168,0.643,2021
Palau,Officers,0,0.0,2021
Palau,Ratings,0,0.0,2021
Palau,Total,0,0.0,2021
Panama,Officers,14022,1.635,2021
Panama,Ratings,11119,1.074,2021
Panama,Total,25141,1.328,2021
Papua New Guinea,Officers,482,0.056,2021
Papua New Guinea,Ratings,300,0.029,2021
Papua New Guinea,Total,782,0.041,2021
Paraguay,Officers,517,0.06,2021
Paraguay,Ratings,789,0.076,2021
Paraguay,Total,1306,0.069,2021
Peru,Officers,1113,0.13,2021
Peru,Ratings,1711,0.165,2021
Peru,Total,2824,0.149,2021
Philippines,Officers,81090,9.456,2021
Philippines,Ratings,171303,16.548,2021
Philippines,Total,252393,13.335,2021
Poland,Officers,24070,2.807,2021
Poland,Ratings,7152,0.691,2021
Poland,Total,31222,1.65,2021
Portugal,Officers,715,0.083,2021
Portugal,Ratings,523,0.051,2021
Portugal,Total,1238,0.065,2021
Qatar,Officers,902,0.105,2021
Qatar,Ratings,1689,0.163,2021
Qatar,Total,2591,0.137,2021
Romania,Officers,13149,1.533,2021
Romania,Ratings,4559,0.44,2021
Romania,Total,17708,0.936,2021
Russian Federation,Officers,71652,8.355,2021
Russian Federation,Ratings,126471,12.217,2021
Russian Federation,Total,198123,10.468,2021
Saint Kitts and Nevis,Officers,1678,0.196,2021
Saint Kitts and Nevis,Ratings,2805,0.271,2021
Saint Kitts and Nevis,Total,4483,0.237,2021
Saint Lucia,Officers,0,0.0,2021
Saint Lucia,Ratings,0,0.0,2021
Saint Lucia,Total,0,0.0,2021
Saint Vincent and the Grenadines,Officers,0,0.0,2021
Saint Vincent and the Grenadines,Ratings,0,0.0,2021
Saint Vincent and the Grenadines,Total,0,0.0,2021
Samoa,Officers,21,0.002,2021
Samoa,Ratings,28,0.003,2021
Samoa,Total,49,0.003,2021
San Marino,Officers,0,0.0,2021
San Marino,Ratings,0,0.0,2021
San Marino,Total,0,0.0,2021
Sao Tome and Principe,Officers,225,0.026,2021
Sao Tome and Principe,Ratings,332,0.032,2021
Sao Tome and Principe,Total,557,0.029,2021
Saudi Arabia,Officers,2461,0.287,2021
Saudi Arabia,Ratings,3995,0.386,2021
Saudi Arabia,Total,6456,0.341,2021
Senegal,Officers,189,0.022,2021
Senegal,Ratings,300,0.029,2021
Senegal,Total,489,0.026,2021
Serbia,Officers,16,0.002,2021
Serbia,Ratings,1,0.0,2021
Serbia,Total,17,0.001,2021
Seychelles,Officers,179,0.021,2021
Seychelles,Ratings,333,0.032,2021
Seychelles,Total,512,0.027,2021
Sierra Leone,Officers,3953,0.461,2021
Sierra Leone,Ratings,5633,0.544,2021
Sierra Leone,Total,9586,0.506,2021
Singapore,Officers,5940,0.693,2021
Singapore,Ratings,60,0.006,2021
Singapore,Total,6000,0.317,2021
Slovakia,Officers,85,0.01,2021
Slovakia,Ratings,27,0.003,2021
Slovakia,Total,112,0.006,2021
Slovenia,Officers,374,0.044,2021
Slovenia,Ratings,0,0.0,2021
Slovenia,Total,374,0.02,2021
Solomon Islands,Officers,208,0.024,2021
Solomon Islands,Ratings,1294,0.125,2021
Solomon Islands,Total,1502,0.079,2021
Somalia,Officers,0,0.0,2021
Somalia,Ratings,56,0.005,2021
Somalia,Total,56,0.003,2021
South Africa,Officers,1986,0.232,2021
South Africa,Ratings,1044,0.101,2021
South Africa,Total,3030,0.16,2021
Spain,Officers,12355,1.441,2021
Spain,Ratings,12132,1.172,2021
Spain,Total,24487,1.294,2021
Sri Lanka,Officers,2282,0.266,2021
Sri Lanka,Ratings,19511,1.885,2021
Sri Lanka,Total,21793,1.151,2021
Sudan,Officers,40,0.005,2021
Sudan,Ratings,59,0.006,2021
Sudan,Total,99,0.005,2021
Suriname,Officers,44,0.005,2021
Suriname,Ratings,62,0.006,2021
Suriname,Total,106,0.006,2021
Sweden,Officers,5922,0.691,2021
Sweden,Ratings,6605,0.638,2021
Sweden,Total,12527,0.662,2021
Switzerland,Officers,1,0.0,2021
Switzerland,Ratings,0,0.0,2021
Switzerland,Total,1,0.0,2021
"Switzerland, Liechtenstein",Officers,1,0.0,2021
"Switzerland, Liechtenstein",Ratings,0,0.0,2021
"Switzerland, Liechtenstein",Total,1,0.0,2021
Syrian Arab Republic,Officers,121,0.014,2021
Syrian Arab Republic,Ratings,202,0.02,2021
Syrian Arab Republic,Total,323,0.017,2021
"Tanzania, United Republic of",Officers,1728,0.202,2021
"Tanzania, United Republic of",Ratings,2637,0.255,2021
"Tanzania, United Republic of",Total,4365,0.231,2021
Thailand,Officers,6137,0.716,2021
Thailand,Ratings,9545,0.922,2021
Thailand,Total,15682,0.829,2021
Togo,Officers,350,0.041,2021
Togo,Ratings,478,0.046,2021
Togo,Total,828,0.044,2021
Tonga,Officers,79,0.009,2021
Tonga,Ratings,124,0.012,2021
Tonga,Total,203,0.011,2021
Trinidad and Tobago,Officers,760,0.089,2021
Trinidad and Tobago,Ratings,1545,0.149,2021
Trinidad and Tobago,Total,2305,0.122,2021
Tunisia,Officers,414,0.048,2021
Tunisia,Ratings,655,0.063,2021
Tunisia,Total,1069,0.056,2021
Turkiye,Officers,10551,1.23,2021
Turkiye,Ratings,18036,1.742,2021
Turkiye,Total,28587,1.51,2021
Turkmenistan,Officers,594,0.069,2021
Turkmenistan,Ratings,1072,0.104,2021
Turkmenistan,Total,1666,0.088,2021
Tuvalu,Officers,1226,0.143,2021
Tuvalu,Ratings,2158,0.208,2021
Tuvalu,Total,3384,0.179,2021
Uganda,Officers,0,0.0,2021
Uganda,Ratings,0,0.0,2021
Uganda,Total,0,0.0,2021
Ukraine,Officers,47059,5.488,2021
Ukraine,Ratings,29383,2.838,2021
Ukraine,Total,76442,4.039,2021
United Arab Emirates,Officers,2799,0.326,2021
United Arab Emirates,Ratings,5188,0.501,2021
United Arab Emirates,Total,7987,0.422,2021
United Kingdom,Officers,24708,2.881,2021
United Kingdom,Ratings,9035,0.873,2021
United Kingdom,Total,33743,1.783,2021
United Kingdom excl. Channel Islands and Isle of Man,Officers,24708,2.881,2021
United Kingdom excl. Channel Islands and Isle of Man,Ratings,9035,0.873,2021
United Kingdom excl. Channel Islands and Isle of Man,Total,33743,1.783,2021
United States of America,Officers,20442,2.384,2021
United States of America,Ratings,39144,3.781,2021
United States of America,Total,59586,3.148,2021
United States of America excluding Puerto Rico and United States Virgin Islands,Officers,20442,2.384,2021
United States of America excluding Puerto Rico and United States Virgin Islands,Ratings,39144,3.781,2021
United States of America excluding Puerto Rico and United States Virgin Islands,Total,59586,3.148,2021
United States of America including Puerto Rico,Officers,20442,2.384,2021
United States of America including Puerto Rico,Ratings,39144,3.781,2021
United States of America including Puerto Rico,Total,59586,3.148,2021
Uruguay,Officers,380,0.044,2021
Uruguay,Ratings,662,0.064,2021
Uruguay,Total,1042,0.055,2021
Vanuatu,Officers,266,0.031,2021
Vanuatu,Ratings,520,0.05,2021
Vanuatu,Total,786,0.042,2021
Venezuela (Bolivarian Rep. of),Officers,1372,0.16,2021
Venezuela (Bolivarian Rep. of),Ratings,3363,0.325,2021
Venezuela (Bolivarian Rep. of),Total,4735,0.25,2021
Viet Nam,Officers,13890,1.62,2021
Viet Nam,Ratings,20700,2.0,2021
Viet Nam,Total,34590,1.828,2021
World,Officers,857544,100.0,2021
World,Ratings,1035181,100.0,2021
World,Total,1892725,100.0,2021
Yemen,Officers,116,0.014,2021
Yemen,Ratings,168,0.016,2021
Yemen,Total,284,0.015,2021
Zambia,Officers,0,0.0,2021
Zambia,Ratings,0,0.0,2021
Zambia,Total,0,0.0,2021
Zimbabwe,Officers,0,0.0,2021
Zimbabwe,Ratings,0,0.0,2021
Zimbabwe,Total,0,0.0,2021
